CVE_ENT,NOM_ENT,NOM_ABR,Z1,Z2,Z3,Z119"01","Aguascalientes","Ags.","1184996","576638","608358","290877"
"02","Baja California","BC","3155070","1591610","1563460","870769"
"03","Baja California Sur","BCS","637026","325433","311593","178271"
"04","Campeche","Camp.","822441","407721","414720","213727"
"05","Coahuila de Zaragoza","Coah.","2748391","1364197","1384194","727613"
"06","Colima","Col.","650555","322790","327765","180488"
"07","Chiapas","Chis.","4796580","2352807","2443773","1091100"
"08","Chihuahua","Chih.","3406465","1692545","1713920","944681"
"09","Distrito Federal","DF","8851080","4233783","4617297","2453770"
"10","Durango","Dgo.","1632934","803890","829044","407784"
"11","Guanajuato","Gto.","5486372","2639425","2846947","1276913"
"12","Guerrero","Gro.","3388768","1645561","1743207","810596"
"13","Hidalgo","Hgo.","2665018","1285222","1379796","669514"
"14","Jalisco","Jal.","7350682","3600641","3750041","1831205"
"15","México","Mex.","15175862","7396986","7778876","3749499"
"16","Michoacán de Ocampo","Mich.","4351037","2102109","2248928","1082772"
"17","Morelos","Mor.","1777227","858588","918639","469091"
"18","Nayarit","Nay.","1084979","541007","543972","291163"
"19","Nuevo León","NL","4653458","2320185","2333273","1210893"
"20","Oaxaca","Oax.","3801962","1819008","1982954","941814"
"21","Puebla","Pue.","5779829","2769855","3009974","1392053"
"22","Querétaro","Qro.","1827937","887188","940749","454392"
"23","Quintana Roo","Q. Roo","1325578","673220","652358","369326"
"24","San Luis Potosí","SLP","2585518","1260366","1325152","639265"
"25","Sinaloa","Sin.","2767761","1376201","1391560","713296"
"26","Sonora","Son.","2662480","1339612","1322868","712402"
"27","Tabasco","Tab.","2238603","1100758","1137845","567233"
"28","Tamaulipas","Tamps.","3268554","1616201","1652353","901387"
"29","Tlaxcala","Tlax.","1169936","565775","604161","274243"
"30","Veracruz de Ignacio de la Llave","Ver.","7643194","3695679","3947515","2014588"
"31","Yucatán","Yuc.","1955577","963333","992244","507248"
"32","Zacatecas","Zac.","1490668","726897","763771","377018"
