ENT,1,2,3,4,5,6,7,8,9,cal_final
2,0.9052725180458207,0.7925112861821723,0.7887934849960166,0.3952819332566168,0.7536823935558178,0.20073275570297228,0.2180667433831991,0.6267548906789421,0.7816455696202531,0.6735
3,0.9114219114219114,0.8788560157790927,0.8305325443786983,0.4574358974358974,0.7201684981684978,0.16255505279034677,0.29128205128205126,0.4313752913752905,0.6194871794871795,0.64
4,0.9276485788113695,0.9329159212880143,0.7602862254025045,0.2571059431524548,0.5818475452196401,0.12040963672290621,0.11434108527131782,0.38405567300916044,0.4886950904392765,0.6325
5,0.7937915742793792,0.9690431519699813,0.9118198874296435,0.4146341463414634,0.8067944250871077,0.17941176470588238,0.6585365853658537,0.4598669623059866,0.7317073170731707,0.5775000000000001
6,0.9335664335664337,0.9339250493096647,0.8767258382642998,0.3333333333333333,0.7342490842490843,0.15976621417797882,0.28205128205128205,0.5346153846153848,0.47435897435897434,0.5775000000000001
7,0.85288024858577,0.6223623002764107,0.5859569877974786,0.09202453987730061,0.41286935019406706,0.11771279063772722,0.034618755477651184,0.29084535096805086,0.30762489044697633,0.5775000000000001
8,0.8914063809577025,0.7838281877925394,0.7382275069736656,0.2546865396435157,0.6625395118096316,0.15363624859900996,0.10817455439459127,0.2938369559144085,0.5981100184388445,0.6494999999999999
9,0.9037804300962194,0.9541531343150775,0.9036719016476101,0.2908232118758435,0.7895700790437302,0.23982354075232576,0.18440331598226334,0.7964263806369485,0.484287642182379,0.6494999999999999
10,0.9330875704249842,0.8291154140427286,0.7696427520452004,0.2410099464422341,0.6553831019783651,0.1133118052117556,0.1182096403978577,0.17813521596994977,0.5845447589900535,0.6494999999999999
11,0.9279611296056463,0.8878698507726139,0.8019004611413063,0.2061860598527584,0.6660364279567474,0.11153130149660663,0.06520699875705134,0.249409382089386,0.6259202600631035,0.6214999999999999
12,0.9043531288113331,0.7707688338493293,0.6777010399301422,0.05908152734778122,0.4916427097154687,0.11667349602379483,0.04179566563467492,0.38386574725584166,0.4411764705882353,0.6214999999999999
13,0.9626588465298144,0.8209677419354838,0.7328370554177006,0.03709677419354839,0.5150844854070646,0.08424414927261242,0.001075268817204301,0.20177908113392065,0.4838709677419355,0.6214999999999999
14,0.907454568501596,0.8426094757061927,0.8419415544526458,0.18075801749271136,0.6735110370678657,0.1342435110690256,0.04892888832551654,0.487585706219247,0.5325770059576626,0.7015
15,0.9187044258186177,0.9126171165572844,0.8567459537908279,0.2454526502319279,0.7125561205876055,0.1833936274254304,0.07958513576901027,0.6502925749916042,0.683223015583468,0.7015
16,0.8942550505050505,0.8905582264957265,0.8263221153846154,0.11414930555555557,0.6399119543650791,0.1381280637254904,0.0625,0.3311789772727265,0.5850694444444444,0.7120000000000001
18,1.0,0.9230769230769231,0.9230769230769231,0.0,0.6714285714285715,0.22352941176470587,1.0,0.3090909090909091,0.5,0.7070000000000001
19,0.9103725495907488,0.899569911024573,0.801148547063318,0.37632169176545976,0.7458998947223734,0.18098224550954842,0.24543415571932073,0.4620299437825905,0.6387375841076578,0.631
20,0.9055175593637131,0.741798881591781,0.6664119903764874,0.036084108199492815,0.4920997615022313,0.09875658843419098,0.018279797125950972,0.09936986090832339,0.3010883347421809,0.631
21,0.911968059207323,0.8606860079252717,0.7777178513374833,0.13531015678254943,0.6047824242171005,0.12033533249701082,0.05725971370143149,0.6008427836648661,0.6095043334307138,0.6325
23,0.9120521172638436,0.8973941368078175,0.7246304184414935,0.26384364820846906,0.6352838529548628,0.10726192757233176,0.0781758957654723,0.25196920343500184,0.25732899022801303,0.6859999999999999
24,0.9125789523300757,0.8698228260965905,0.7412853306389428,0.1261666090563429,0.5804993169061454,0.11349199894268179,0.045627376425855515,0.2444301291518795,0.5789261435649269,0.6244999999999999
25,0.9172164386878102,0.8835526989654819,0.7775658096896445,0.15371171770972036,0.6480656743389709,0.1287249353802769,0.14414114513981358,0.2532244885607123,0.6137649800266312,0.6244999999999999
26,0.9298862725085659,0.7974292147307385,0.8173616680032078,0.2885926222935044,0.723328846374151,0.16018857021557648,0.24859663191659984,0.4611503973172027,0.5868083400160385,0.7245
27,0.9115033299655664,0.8778896313484655,0.7353839175113841,0.1750963937400771,0.5901483977578342,0.11203020559550464,0.16761170333408937,0.34425864450813637,0.5430936720344749,0.7245
29,0.7272727272727273,0.6923076923076923,0.8461538461538461,0.0,0.4428571428571427,0.0,0.0,0.43636363636363634,0.5,0.6525
30,0.9237714559022338,0.8333890836709326,0.7406287812150271,0.0866215708380308,0.5693927401851243,0.11126148317275915,0.04724324904708219,0.4338316324787467,0.5650131529500187,0.62
31,0.919518793832576,0.9487698086368991,0.8060809459249216,0.34946547240681886,0.6865852148429532,0.15023454628889912,0.13377636521236635,0.36402511097686396,0.38832707310026005,0.62
32,0.9377491667211294,0.8319277774705525,0.8029641099375103,0.1662473040977714,0.6284122419636358,0.10673658392184888,0.08501078360891445,0.1610597346578656,0.5685657800143782,0.574
